-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 02/01/1981 through 02/20/2024 
Location: Latitude  28.6835   Longitude 77.22 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 206.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,T2M,QV2M,RH2M,PRECTOTCORR,T2M_MAX,T2M_MIN,PS
1981,4,20,32.07,2.99,10.56,0.0,42.75,20.15,98.2
1981,4,21,33.25,5.0,15.62,0.0,41.52,24.69,98.05
1981,4,22,32.13,4.15,15.0,0.0,41.33,23.46,98.14
1981,4,23,31.74,3.23,12.44,0.0,41.04,22.46,98.38
1981,4,24,31.22,2.62,9.94,0.0,41.01,22.14,98.51
1981,4,25,32.37,2.75,10.06,0.0,42.73,22.54,98.41
1981,4,26,34.01,2.75,8.88,0.0,43.55,25.7,98.28
1981,4,27,33.48,3.05,10.5,0.0,44.08,23.33,98.28
1981,4,28,33.16,4.7,15.5,0.0,41.55,25.64,98.38
1981,4,29,33.17,6.41,20.62,0.0,40.34,26.51,98.34
1981,4,30,34.23,6.23,19.5,0.0,42.04,27.06,98.34
1981,5,1,33.87,6.77,21.69,0.61,41.94,25.37,98.42
1981,5,2,34.66,6.59,20.19,0.0,43.1,26.17,98.15
1981,5,3,35.69,6.41,18.25,0.0,42.31,27.98,98.05
1981,5,4,35.1,6.71,19.62,0.04,43.75,26.99,98.13
1981,5,5,35.8,7.63,22.31,0.09,43.6,26.88,98.13
1981,5,6,36.42,6.65,18.06,0.03,43.94,29.57,98.04
1981,5,7,32.86,9.46,30.5,0.03,39.23,28.76,98.19
1981,5,8,31.93,9.52,32.69,0.98,37.15,25.84,98.18
1981,5,9,31.54,11.17,38.75,4.21,35.69,26.66,98.18
1981,5,10,31.63,9.46,33.0,0.03,37.62,25.17,97.97
1981,5,11,32.52,8.97,30.06,0.32,38.7,25.59,97.92
1981,5,12,34.08,6.23,20.19,0.0,42.44,25.17,97.71
1981,5,13,35.52,4.82,15.19,0.11,45.51,24.94,97.57
1981,5,14,35.94,5.92,16.5,0.0,44.15,25.89,97.72
1981,5,15,35.94,6.23,17.69,0.0,44.7,27.11,97.49
1981,5,16,35.95,4.82,14.38,0.0,44.94,26.42,97.46
1981,5,17,36.85,3.85,10.94,0.0,46.76,26.98,97.45
1981,5,18,36.66,4.21,11.69,0.0,46.65,26.08,97.51
1981,5,19,38.18,4.82,12.56,0.0,47.79,27.89,97.38
1981,5,20,38.31,6.1,15.12,0.0,46.58,29.96,97.42
1981,5,21,37.12,4.94,13.69,0.0,46.19,28.98,97.56
1981,5,22,35.51,2.99,9.0,0.03,44.57,25.75,97.67
1981,5,23,36.1,3.42,9.5,0.0,44.35,26.83,97.63
1981,5,24,35.7,4.52,13.69,2.95,45.23,26.49,97.48
1981,5,25,36.22,7.32,20.94,0.0,45.87,25.33,97.61
1981,5,26,38.84,7.63,18.25,0.0,47.18,30.49,97.68
1981,5,27,38.08,8.73,20.94,1.51,46.03,30.26,97.53
1981,5,28,37.66,8.42,21.56,0.58,45.51,29.01,97.35
1981,5,29,38.2,8.48,20.75,0.0,46.19,29.82,97.43
1981,5,30,39.37,8.36,19.5,1.8,46.23,31.86,97.51
1981,5,31,39.19,8.73,20.12,0.0,46.68,31.52,97.53
1981,6,1,37.33,8.24,21.62,1.79,45.22,29.19,97.57
1981,6,2,37.3,6.47,16.75,0.18,45.33,31.34,97.5
1981,6,3,37.19,4.27,11.56,0.02,45.96,27.86,97.39
1981,6,4,36.37,4.21,12.56,0.92,45.76,27.3,97.3
1981,6,5,36.15,3.36,9.62,0.0,45.61,26.46,97.36
1981,6,6,37.14,2.56,7.38,0.0,47.37,27.3,97.31
1981,6,7,37.44,4.82,11.31,0.0,46.74,26.73,97.23
1981,6,8,38.63,9.16,20.62,0.3,46.22,30.43,97.3
1981,6,9,38.62,8.79,20.56,1.8,46.08,32.48,97.38
1981,6,10,37.76,4.03,10.88,0.0,46.27,28.1,97.5
1981,6,11,37.55,3.3,9.0,0.0,45.89,29.4,97.59
1981,6,12,36.14,3.48,9.12,0.0,44.54,27.43,97.54
1981,6,13,35.76,2.87,8.31,0.0,44.75,26.01,97.31
1981,6,14,36.41,3.23,9.19,0.0,45.66,26.34,97.17
1981,6,15,37.8,2.93,7.69,0.0,46.89,28.17,97.24
1981,6,16,38.64,2.62,6.44,0.0,47.93,30.56,97.2
1981,6,17,39.39,2.62,6.25,0.0,49.29,27.62,97.04
1981,6,18,38.3,4.58,11.06,0.0,47.34,27.73,97.21
1981,6,19,39.12,7.26,17.19,0.0,47.44,29.4,97.19
1981,6,20,40.89,5.37,11.75,0.12,48.53,32.49,96.87
1981,6,21,39.83,6.65,14.81,0.0,48.16,30.56,96.83
1981,6,22,39.01,9.22,21.69,0.02,46.46,31.03,97.01
1981,6,23,37.91,12.33,30.06,0.05,44.35,32.22,97.29
1981,6,24,38.11,13.61,33.06,1.24,44.51,32.14,97.34
1981,6,25,37.06,14.59,36.56,6.58,41.56,32.24,97.47
1981,6,26,37.48,15.14,37.5,0.02,42.29,31.94,97.35
1981,6,27,39.25,14.47,32.56,0.0,45.01,32.99,97.26
1981,6,28,40.72,14.53,30.88,0.05,48.03,34.02,97.22
1981,6,29,35.54,19.53,53.19,69.91,38.86,29.62,97.27
1981,6,30,29.19,23.07,87.81,117.48,31.01,27.62,97.19
1981,7,1,30.26,22.4,80.5,20.92,33.39,27.4,97.09
1981,7,2,31.1,22.46,77.56,8.44,35.65,26.97,97.05
1981,7,3,32.1,21.48,70.75,4.09,36.92,27.39,97.13
1981,7,4,31.8,20.75,69.12,4.86,35.84,27.3,97.18
1981,7,5,32.96,19.9,62.81,0.87,37.69,29.57,97.27
1981,7,6,32.51,20.2,65.31,0.12,36.99,28.75,97.45
1981,7,7,31.32,21.24,73.56,7.08,36.65,26.6,97.4
1981,7,8,30.37,21.55,77.69,2.79,34.87,27.13,97.43
1981,7,9,30.42,21.18,76.94,0.57,35.38,26.62,97.4
1981,7,10,30.68,21.61,77.06,4.35,35.13,26.57,97.36
1981,7,11,31.02,22.09,77.12,0.45,35.49,26.67,97.38
1981,7,12,31.84,21.55,72.25,0.0,36.69,27.25,97.32
1981,7,13,30.8,21.97,77.62,6.03,35.49,27.64,97.37
1981,7,14,28.83,22.28,87.06,34.14,30.94,26.7,97.48
1981,7,15,28.69,22.03,86.94,10.85,31.52,26.55,97.44
1981,7,16,27.36,20.75,88.44,8.34,29.87,25.69,97.42
1981,7,17,27.44,21.36,90.25,12.6,29.69,25.31,97.32
1981,7,18,27.46,22.22,93.31,6.45,29.08,26.38,97.12
1981,7,19,27.15,20.69,88.94,5.55,29.84,25.74,97.17
1981,7,20,28.58,22.03,87.5,2.63,32.48,26.05,97.3
1981,7,21,28.72,22.89,89.94,1.01,31.44,26.1,97.41
1981,7,22,28.98,22.34,86.94,20.26,32.23,26.65,97.52
1981,7,23,28.49,22.34,89.0,7.06,31.64,25.85,97.51
1981,7,24,28.55,21.97,87.56,2.52,31.42,26.01,97.57
1981,7,25,29.35,22.16,84.75,0.44,33.02,26.67,97.69
1981,7,26,29.8,22.22,82.88,0.76,33.82,26.33,97.62
1981,7,27,28.73,22.28,87.56,3.85,31.4,26.83,97.52
1981,7,28,28.0,21.48,88.56,21.5,30.73,26.11,97.65
1981,7,29,27.17,20.81,89.75,7.27,29.73,25.13,97.7
1981,7,30,27.26,20.57,88.19,4.06,29.73,25.35,97.42
1981,7,31,29.46,20.87,79.44,2.87,35.12,24.8,97.12
1981,8,1,28.23,21.48,87.38,2.17,32.17,25.69,97.35
1981,8,2,28.26,21.55,87.44,21.61,31.83,24.88,97.56
1981,8,3,27.8,21.67,90.25,12.93,29.87,25.94,97.79
1981,8,4,28.54,21.55,86.25,11.39,32.05,25.09,97.62
1981,8,5,28.76,21.61,84.94,5.95,31.73,25.73,97.43
1981,8,6,30.05,22.09,81.12,1.49,33.66,26.24,97.42
1981,8,7,30.12,22.22,80.94,0.32,32.64,26.83,97.5
1981,8,8,28.87,22.34,87.19,2.99,31.55,26.57,97.61
1981,8,9,29.51,22.28,84.25,1.13,33.83,25.9,97.52
1981,8,10,28.8,22.28,87.38,2.82,32.33,26.49,97.34
1981,8,11,28.04,20.57,84.81,1.32,31.87,25.05,97.48
1981,8,12,29.01,21.12,82.25,0.22,33.14,25.53,97.23
1981,8,13,29.75,21.73,81.25,0.06,34.05,25.61,97.17
1981,8,14,29.83,22.22,82.75,4.26,34.39,26.01,97.37
1981,8,15,27.86,21.73,89.88,5.24,29.94,26.05,97.56
1981,8,16,28.61,20.63,82.81,0.02,32.76,25.68,97.64
1981,8,17,28.94,21.73,84.81,0.95,33.11,25.05,97.58
1981,8,18,30.05,21.55,79.44,0.35,33.87,26.2,97.43
1981,8,19,30.87,21.42,75.62,0.01,35.38,26.3,97.29
1981,8,20,31.2,21.3,74.0,1.48,36.98,26.01,97.25
1981,8,21,30.94,20.94,74.19,1.54,37.54,26.51,97.19
1981,8,22,30.74,20.26,72.38,1.04,36.73,25.5,97.2
1981,8,23,30.33,19.1,70.25,0.17,35.21,25.83,97.51
1981,8,24,29.97,17.88,67.31,0.21,35.87,25.21,97.73
1981,8,25,29.87,17.27,66.0,0.08,36.48,24.32,97.77
1981,8,26,29.74,16.78,64.75,0.32,35.97,24.29,97.84
1981,8,27,29.85,16.24,62.25,0.0,36.14,24.33,97.81
1981,8,28,30.26,16.11,60.56,0.0,36.89,23.65,97.58
1981,8,29,31.9,16.66,56.75,0.01,37.5,25.48,97.53
1981,8,30,32.23,16.78,56.25,0.0,38.38,26.17,97.62
1981,8,31,31.61,15.99,55.81,0.01,38.51,25.08,97.71
1981,9,1,32.17,15.69,53.44,0.02,38.98,26.05,97.77
1981,9,2,31.72,15.2,52.69,0.05,38.58,25.48,97.8
1981,9,3,31.94,14.59,50.81,0.0,39.7,24.85,97.84
1981,9,4,32.03,14.28,49.44,0.0,39.04,25.97,97.86
1981,9,5,32.26,14.1,48.19,0.0,39.72,26.24,97.92
1981,9,6,31.8,14.22,50.19,0.0,39.4,24.86,97.98
1981,9,7,31.95,14.34,50.25,1.32,39.56,24.62,97.91
1981,9,8,31.65,16.54,59.62,0.2,39.24,24.98,97.96
1981,9,9,32.75,14.71,49.75,0.73,39.62,26.62,97.96
1981,9,10,32.08,14.59,49.56,1.43,38.4,27.59,98.1
1981,9,11,31.12,13.37,49.19,0.03,38.45,24.95,98.22
1981,9,12,30.75,11.23,42.75,0.0,38.96,23.55,98.23
1981,9,13,30.57,10.38,40.38,0.0,39.11,22.29,98.29
1981,9,14,31.17,9.77,36.69,0.0,39.8,24.54,98.36
1981,9,15,30.82,10.74,41.88,0.0,40.37,22.27,98.31
1981,9,16,31.15,14.34,54.19,0.0,39.16,23.73,98.37
1981,9,17,31.36,15.14,55.06,2.67,38.86,24.79,98.33
1981,9,18,30.28,15.26,58.25,2.28,36.85,24.38,98.33
1981,9,19,29.92,15.5,59.62,1.5,36.19,24.55,98.2
1981,9,20,29.62,14.95,59.06,0.32,35.63,24.27,98.31
1981,9,21,30.34,15.08,57.75,0.0,37.22,23.97,98.3
1981,9,22,30.83,15.26,56.44,0.22,37.51,24.27,98.18
1981,9,23,29.4,15.2,59.25,0.43,35.18,25.89,98.1
1981,9,24,29.7,13.79,52.94,0.29,35.11,24.9,98.06
1981,9,25,31.65,14.65,51.0,0.02,38.59,25.95,98.12
1981,9,26,31.53,15.93,55.56,0.17,36.94,26.21,98.32
1981,9,27,30.67,14.95,55.19,0.29,36.84,25.57,98.22
1981,9,28,26.85,17.4,77.12,40.95,29.85,24.4,97.82
1981,9,29,29.07,17.7,71.62,18.62,36.33,24.8,97.59
1981,9,30,28.9,15.32,62.12,1.88,34.18,23.55,98.19
1981,10,1,29.53,13.12,52.38,0.02,35.77,24.49,98.12
1981,10,2,28.36,10.31,45.5,0.07,36.23,22.7,98.19
1981,10,3,26.84,8.91,43.56,0.0,36.05,19.26,98.26
1981,10,4,26.12,8.0,40.94,0.0,36.27,18.11,98.3
1981,10,5,25.6,6.96,37.12,0.0,35.37,18.12,98.34
1981,10,6,24.73,6.77,38.06,0.06,34.86,16.46,98.31
1981,10,7,24.55,6.59,37.94,0.0,35.16,16.01,98.34
1981,10,8,24.5,6.29,36.0,0.0,34.55,15.91,98.51
1981,10,9,25.32,5.86,31.56,0.0,35.12,17.61,98.64
1981,10,10,24.97,6.04,33.44,0.0,35.32,16.35,98.49
1981,10,11,25.9,6.84,35.5,0.0,36.44,16.94,98.44
1981,10,12,26.7,6.84,34.0,0.0,36.42,18.18,98.71
1981,10,13,26.37,7.39,37.31,0.0,36.23,17.64,98.85
1981,10,14,25.8,7.69,40.12,0.0,35.83,17.94,98.73
1981,10,15,26.98,7.39,35.38,0.0,36.69,19.53,98.63
1981,10,16,27.02,7.75,36.69,0.0,36.41,20.54,98.56
1981,10,17,26.07,7.2,37.31,0.0,36.33,18.61,98.51
1981,10,18,25.69,7.02,37.06,0.0,35.89,17.96,98.44
1981,10,19,25.64,6.53,34.56,0.0,35.73,18.23,98.59
1981,10,20,25.98,7.2,36.38,0.0,35.23,18.09,98.7
1981,10,21,25.04,6.41,34.75,0.0,33.67,18.84,98.59
1981,10,22,24.51,5.13,29.88,0.0,33.57,15.65,98.67
1981,10,23,25.88,4.39,22.06,0.0,33.69,19.55,98.86
1981,10,24,24.39,5.13,28.56,0.0,33.25,16.28,99.01
1981,10,25,25.39,5.37,28.5,0.0,33.25,19.24,99.07
1981,10,26,25.48,5.07,26.06,0.0,33.61,19.44,98.99
1981,10,27,24.33,5.0,28.0,0.0,33.37,18.6,98.94
1981,10,28,24.22,5.68,32.12,0.0,33.62,16.58,99.01
1981,10,29,23.69,6.1,35.81,0.0,33.58,16.36,98.89
1981,10,30,22.75,5.19,32.94,0.0,32.9,15.58,98.75
1981,10,31,23.07,4.88,29.38,0.04,31.25,15.01,98.73
1981,11,1,20.81,8.18,52.62,0.89,24.94,16.54,98.86
1981,11,2,19.83,11.35,77.56,0.17,22.12,18.47,98.71
1981,11,3,20.88,13.31,84.0,20.3,26.49,16.12,98.19
1981,11,4,19.44,7.14,56.94,0.56,28.99,12.82,98.69
1981,11,5,18.76,4.94,40.75,2.58,29.75,11.15,98.71
1981,11,6,19.08,4.7,37.75,0.0,29.82,10.62,98.88
1981,11,7,20.49,4.46,32.44,0.0,30.23,11.34,98.92
1981,11,8,22.23,4.94,30.75,0.0,31.11,15.78,98.87
1981,11,9,22.48,5.25,32.56,0.0,31.06,14.39,98.78
1981,11,10,21.3,5.68,38.19,0.0,30.1,14.55,98.79
1981,11,11,20.99,6.9,47.62,0.0,30.69,12.81,98.86
1981,11,12,17.36,8.24,66.31,6.16,21.07,14.46,99.11
1981,11,13,18.51,7.39,58.81,0.2,26.5,11.81,99.32
1981,11,14,18.65,6.77,53.62,0.71,27.33,12.08,99.41
1981,11,15,17.98,5.68,47.25,0.0,27.44,10.95,99.19
1981,11,16,18.67,5.37,42.62,0.0,27.23,10.58,99.11
1981,11,17,19.73,5.13,37.62,0.0,27.26,13.3,99.01
1981,11,18,19.19,5.43,40.5,0.0,27.62,14.33,99.0
1981,11,19,17.85,5.31,44.62,0.0,27.44,11.15,98.96
1981,11,20,17.03,4.39,38.94,0.0,26.91,9.69,99.01
1981,11,21,16.86,4.21,38.81,0.0,27.86,9.23,99.07
1981,11,22,16.3,4.27,40.69,0.0,27.32,8.27,98.94
1981,11,23,17.98,4.7,39.69,0.0,28.37,9.98,98.83
1981,11,24,19.37,4.64,34.5,0.0,28.45,12.73,98.9
1981,11,25,19.88,5.0,36.0,0.0,28.57,13.19,98.75
1981,11,26,20.01,5.31,38.38,0.0,28.26,12.87,98.89
1981,11,27,18.88,5.25,41.0,0.0,27.58,10.85,99.16
1981,11,28,17.94,6.1,49.0,2.35,25.55,13.32,99.21
1981,11,29,16.59,5.55,49.69,0.12,24.76,10.42,99.27
1981,11,30,15.9,4.88,46.06,0.0,24.78,9.47,99.51
1981,12,1,14.99,3.66,37.12,0.0,24.87,7.72,99.55
1981,12,2,16.96,3.54,31.56,0.0,25.48,9.42,99.38
1981,12,3,17.86,5.55,44.5,0.0,25.06,9.65,99.39
1981,12,4,16.18,4.58,43.06,0.02,25.56,9.69,99.45
1981,12,5,15.4,4.27,42.06,0.0,25.21,8.37,99.36
1981,12,6,15.02,5.92,56.25,1.43,22.62,9.46,99.33
1981,12,7,14.32,6.29,64.75,0.19,22.16,8.59,99.44
1981,12,8,13.62,3.91,43.69,0.0,23.25,6.41,99.41
1981,12,9,14.02,3.78,41.56,0.0,24.72,6.27,99.47
1981,12,10,14.35,3.78,41.31,0.0,25.5,6.43,99.49
1981,12,11,14.16,4.15,44.69,0.0,24.48,6.41,99.42
1981,12,12,13.83,3.91,43.44,0.0,24.36,6.23,99.43
1981,12,13,14.47,3.72,38.56,0.0,24.12,7.05,99.52
1981,12,14,15.3,3.54,34.06,0.0,23.9,10.26,99.44
1981,12,15,14.57,3.54,35.5,0.0,22.86,8.83,99.43
1981,12,16,14.04,3.3,35.62,0.0,23.33,7.23,99.48
1981,12,17,13.7,3.42,37.38,0.0,23.26,6.57,99.44
1981,12,18,14.02,3.36,36.12,0.0,23.29,8.62,99.6
1981,12,19,13.71,3.23,35.56,0.0,23.45,7.33,99.55
1981,12,20,12.23,4.64,53.5,0.23,20.51,7.66,99.58
1981,12,21,12.88,4.94,58.56,0.02,22.85,5.58,99.62
1981,12,22,13.08,3.42,39.19,0.0,23.3,5.02,99.65
1981,12,23,12.92,3.85,44.56,0.0,23.21,5.17,99.57
1981,12,24,12.98,3.72,43.19,0.0,23.2,5.44,99.45
1981,12,25,12.85,3.6,40.75,0.0,21.16,6.74,99.37
1981,12,26,14.39,3.72,38.0,0.0,23.69,8.98,99.41
1981,12,27,15.42,4.09,39.0,0.0,25.24,9.1,99.33
1981,12,28,16.78,4.7,40.0,0.0,25.79,11.19,99.13
1981,12,29,15.69,4.27,41.56,0.0,25.45,8.87,99.12
1981,12,30,14.9,3.91,40.25,0.0,25.02,7.57,99.24
1981,12,31,14.36,3.6,37.62,0.0,23.6,7.8,99.37
1982,1,1,14.83,3.72,37.44,0.0,25.09,6.97,99.25
1982,1,2,15.35,3.72,37.12,0.0,25.79,8.02,99.03
1982,1,3,17.0,4.21,36.19,0.02,25.71,9.77,98.92
1982,1,4,14.72,6.47,61.75,5.5,18.4,11.8,99.05
1982,1,5,16.11,6.71,61.5,0.06,24.18,10.86,99.35
1982,1,6,14.45,5.0,51.5,0.0,23.27,7.87,99.38
1982,1,7,14.36,4.27,45.06,0.0,23.8,6.76,99.38
1982,1,8,14.37,3.97,40.38,0.0,22.8,8.87,99.41
1982,1,9,13.55,6.9,69.31,13.06,17.87,11.03,99.26
1982,1,10,14.15,7.81,77.88,4.73,18.23,10.29,99.14
1982,1,11,14.98,6.77,66.62,0.0,23.06,7.93,99.16
1982,1,12,13.56,5.13,56.0,0.0,22.38,6.6,99.24
1982,1,13,13.37,4.46,49.25,0.0,22.2,6.5,99.33
1982,1,14,13.92,4.27,45.31,0.0,23.12,8.36,99.26
1982,1,15,13.1,3.72,42.31,0.0,23.33,5.67,99.2
1982,1,16,13.03,3.36,39.38,0.0,23.98,5.02,99.19
1982,1,17,13.16,2.99,34.75,0.0,23.24,4.9,99.21
1982,1,18,15.21,2.75,27.06,0.0,23.03,7.47,99.27
1982,1,19,15.3,3.05,29.56,0.0,24.87,8.93,99.24
1982,1,20,13.31,3.42,38.75,0.0,23.74,5.62,99.19
1982,1,21,14.57,3.66,38.56,0.0,23.56,6.09,99.21
1982,1,22,15.86,4.21,38.62,0.0,25.05,7.24,99.0
1982,1,23,14.05,4.52,47.06,0.0,23.36,6.73,99.08
1982,1,24,14.55,5.19,51.0,0.0,21.72,7.75,99.3
1982,1,25,14.6,7.02,68.44,2.83,20.7,11.53,99.51
1982,1,26,14.19,8.12,82.31,12.7,20.55,10.3,99.59
1982,1,27,13.7,6.77,72.06,1.34,21.43,7.98,99.69
1982,1,28,13.8,5.07,55.69,0.0,22.52,6.77,99.57
1982,1,29,13.55,3.78,41.88,0.0,22.65,5.97,99.63
1982,1,30,13.43,4.03,43.88,0.04,21.38,8.53,99.41
1982,1,31,14.52,4.88,50.19,0.52,23.14,8.48,99.43
1982,2,1,14.85,6.84,67.81,1.91,22.0,7.6,99.41
1982,2,2,14.54,5.25,53.94,0.61,21.81,8.05,99.18
1982,2,3,16.07,5.07,46.12,2.57,23.13,10.3,99.04
1982,2,4,14.97,5.74,56.69,0.91,23.43,8.48,99.08
1982,2,5,12.76,4.39,50.94,0.08,21.13,6.58,99.22
1982,2,6,12.4,3.6,44.62,0.0,22.62,5.01,99.01
1982,2,7,14.27,4.03,42.62,0.0,23.68,6.3,98.89
1982,2,8,16.03,4.03,37.0,0.0,25.32,9.11,98.87
